what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446468878066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446468878830
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1446468882670
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1446468893231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446468897786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446468919925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446468926539
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1446468947492
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1446468947601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446468948163
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446468948522
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446468948553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446469142941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446469145619
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446469163327
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446469174528
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1446469179395
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1446469180175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1446469193576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1446469194246
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446469199114
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1446469203856
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446469205307
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1446469209365
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446469213733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446469659488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446469665791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446470344043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446470363555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446470364413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446470371689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446470812218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446470815849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446471035508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446471274587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446471276162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446471280359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446471873820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446471876097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446472274320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446472276504
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446472622191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446472706703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446472711574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446473015345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446473018462
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446473080988
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446473095964
