what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1445256852745
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1445256852745
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1445256852745
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1445256852745
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1445256852745
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1445256852745
os,sysinfo,,,"win32",1445256852745
arch,sysinfo,,,"x86",1445256852745
ws,sysinfo,,,"win32",1445256852745
locale,sysinfo,,,"fr_FR",1445256852745
processors,sysinfo,,,"2",1445256852745
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1445256852745
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1445256852745
java.specification.name,sysinfo,,,"Java Platform API Specification",1445256852745
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1445256852745
java.specification.version,sysinfo,,,"1.6",1445256852745
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1445256852745
java.version,sysinfo,,,"1.6.0_20",1445256852745
java.vm.info,sysinfo,,,"mixed mode, sharing",1445256852745
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1445256852745
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1445256852745
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1445256852745
java.vm.specification.version,sysinfo,,,"1.0",1445256852745
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1445256852745
java.vm.version,sysinfo,,,"16.3-b01",1445256852745
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1445256852761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445256852777
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1445256853026
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1445256853026
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445256853057
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1445256853089
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1445256854118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445256960300
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445256961844
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1445256966509
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1445256966509
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1445256997241
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1445257002233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445257008254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445257010095
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1445257010095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1445257010095
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1445257013589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445257022356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445257090154
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1445257090247
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1445257090263
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445257120293
