what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447167436954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447167453992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447167454585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447167455178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447167461200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447167496942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447167499672
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447167524644
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447167527546
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447167529512
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447167533505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447167580372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447167601980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447167952249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447167955111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447167956068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168064948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168068854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168070678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168071725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168079831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168123237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168133942
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168134004
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168134035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168140400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168142678
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168142756
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168142787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168150493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168153676
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168153754
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168153785
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168276182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168299569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168301763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168302984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168527211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168699744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168735142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168742069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168749557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168755984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168804473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168893617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168900777
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168900855
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168900902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168911668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168918985
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168919016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168921066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168932521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168934377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447168938948
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168941555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447168953083
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168954285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447168963333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169012617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169013678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169074791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169077693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169172827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169182735
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169184561
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447169189508
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169190522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447169194905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447169202378
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447169205872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169211941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169218261
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169288090
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169294513
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169295729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447169309413
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169310473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447169313593
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169327119
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169328398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169331908
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169335714
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169335745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447169346417
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169347337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447169351643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169484519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169488809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447169545425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447169549154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447169560684
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169598812
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169602088
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447169637830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169688425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169690578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169985590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447169987555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170009739
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170013702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170062379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170066232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170070241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170071411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170085311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170086356
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1447170184581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170184612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170193241
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1447170193818
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170207673
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1447170255756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170258189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170260966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170275552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170281901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170282525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170283181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170283649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170284087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170284431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170284665
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170285320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170317255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170342293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170345959
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170389901
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170398995
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170405532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170408309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170460249
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1447170476951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170488027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170526497
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170526871
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170526902
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170529242
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170536293
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170538275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170555715
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170575559
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170578913
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170580410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170586525
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170587461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170592141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1447170603935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170609139
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170625116
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170628673
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170629609
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170632027
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170635412
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170636754
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170650263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170663679
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170664818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170670309
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170677985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170682340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170699950
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170712461
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170714224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170717609
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170773292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170784228
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170785226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1447170787785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170797192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170813650
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1447170871090
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170883508
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1447170884288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447170890809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170894537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170904258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170916161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170916286
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447170924663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170943833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447170950292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1447170975985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447171004830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447171009261
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAs",1447171009261
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447171014705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447171016187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447171036173
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1447171041165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1447171048450
