what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1446727366478
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1446727366478
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1446727366478
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1446727366478
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1446727366478
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1446727366478
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1446727366478
os,sysinfo,,,"win32",1446727366494
arch,sysinfo,,,"x86",1446727366494
ws,sysinfo,,,"win32",1446727366494
locale,sysinfo,,,"fr_FR",1446727366494
processors,sysinfo,,,"2",1446727366494
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1446727366494
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1446727366494
java.specification.name,sysinfo,,,"Java Platform API Specification",1446727366494
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446727366494
java.specification.version,sysinfo,,,"1.6",1446727366494
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1446727366494
java.version,sysinfo,,,"1.6.0_20",1446727366494
java.vm.info,sysinfo,,,"mixed mode, sharing",1446727366494
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1446727366494
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446727366494
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446727366494
java.vm.specification.version,sysinfo,,,"1.0",1446727366494
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1446727366494
java.vm.version,sysinfo,,,"16.3-b01",1446727366494
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1446727366510
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1446727366510
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1446727366853
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1446727366931
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1446727366962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727366978
error,log,,,"DDMS files not found: D:\\platform-tools\\adb.exe D:\\tools\\hprof-conv.exe D:\\tools\\traceview.bat ",1446727366993
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1446727367009
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1446727367040
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1446727367165
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1446727371377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727372937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727381191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727411939
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446727417056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727511653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727512870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727515444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727596178
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446727604945
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446727604992
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446727612012
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446727623665
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446727627581
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446727885711
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446727890547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727972400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727984240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727985816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446727987781
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1446728060212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1446728061928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1446728067123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1446728465091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1446728466994
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728579749
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728579780
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728587362
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728587393
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728589998
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728590029
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728598048
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728610512
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728610559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1446728625862
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728627048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1446728635284
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728778787
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728781891
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728787008
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728792624
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446728859437
