what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1447399701761
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1447399701762
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1447399701763
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1447399701764
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1447399701764
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1447399701765
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1447399701765
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1447399701766
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1447399701766
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1447399701775
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1447399701776
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1447399701782
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1447399701783
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1447399701784
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1447399701785
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1447399701786
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1447399701788
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1447399701788
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1447399701788
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1447399701807
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1447399701808
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1447399701809
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1447399701809
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1447399701810
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1447399701811
os,sysinfo,,,"win32",1447399701818
arch,sysinfo,,,"x86",1447399701818
ws,sysinfo,,,"win32",1447399701818
locale,sysinfo,,,"fr_FR",1447399701818
processors,sysinfo,,,"2",1447399701818
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1447399701818
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1447399701818
java.specification.name,sysinfo,,,"Java Platform API Specification",1447399701818
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1447399701818
java.specification.version,sysinfo,,,"1.6",1447399701818
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1447399701818
java.version,sysinfo,,,"1.6.0_20",1447399701818
java.vm.info,sysinfo,,,"mixed mode, sharing",1447399701818
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1447399701818
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1447399701818
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1447399701818
java.vm.specification.version,sysinfo,,,"1.0",1447399701818
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1447399701818
java.vm.version,sysinfo,,,"16.3-b01",1447399701818
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1447399701864
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1447399701919
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1447399701964
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1447399702000
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1447399702259
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1447399702324
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1447399702573
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1447399702755
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1447399703414
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1447399703911
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1447399704088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447399704136
error,log,,,"DDMS files not found: D:\\platform-tools\\adb.exe D:\\tools\\hprof-conv.exe D:\\tools\\traceview.bat ",1447399704168
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1447399704229
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1447399704328
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1447399704360
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1447399705931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447399727156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1447399730355
